Employee ID,StartDate,education,Job Role,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Program Name,Training Type,Training Outcome,Training Months,Training Cost,Age
3427,9/20/2019,Post Graduate,Production Technician I,Active,Contract,Zone C,Temporary,Production       ,Finance & Accounting,Massachusetts,Female,White,Widowed,Fully Meets,4,1,2,3,Leadership Development,Internal,Failed,2,$606 ,50
3428,2/11/2023,Bachelors,Production Technician I,Active,Contract,Zone A,Part-Time,Production       ,Aerial,Massachusetts,Male,Hispanic,Widowed,Fully Meets,3,2,1,5,Customer Service,External,Incomplete,4,$673 ,58
3429,12/10/2018,Post Graduate,Area Sales Manager,Active,Full-Time,Zone B,Part-Time,Sales,General - Sga,Massachusetts,Male,Hispanic,Widowed,Fully Meets,4,1,2,1,Leadership Development,External,Failed,2,$413 ,27
3430,6/21/2021,Masters,Area Sales Manager,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,North Dakota,Male,Other,Single,Fully Meets,2,5,5,4,Project Management,External,Completed,3,$664 ,23
3431,6/29/2019,Doctorate,Area Sales Manager,Active,Contract,Zone A,Temporary,Sales,General - Con,Florida,Female,Other,Married,Fully Meets,3,2,5,3,Technical Skills,External,Failed,5,$399 ,50
3432,1/17/2020,Bachelors,Area Sales Manager,Active,Contract,Zone B,Full-Time,Sales,Field Operations,Connecticut,Male,Black,Married,Fully Meets,3,2,3,5,Project Management,Internal,Passed,2,$820 ,71
3433,4/6/2022,Diplomas,Area Sales Manager,Active,Full-Time,Zone B,Temporary,Sales,General - Eng,California,Female,Hispanic,Divorced,Exceeds,4,1,5,2,Customer Service,External,Passed,5,$295 ,80
3434,11/6/2020,Doctorate,Area Sales Manager,Active,Contract,Zone C,Full-Time,Sales,Engineers,Oregon,Female,White,Divorced,Fully Meets,2,1,4,2,Leadership Development,Internal,Passed,3,$790 ,63
3435,8/18/2018,Bachelors,Area Sales Manager,Active,Contract,Zone B,Part-Time,Sales,Executive,Texas,Male,Black,Widowed,Exceeds,3,4,3,3,Customer Service,Internal,Passed,3,$798 ,44
3436,1/21/2022,Diplomas,Area Sales Manager,Active,Part-Time,Zone B,Temporary,Sales,Engineers,Texas,Male,Asian,Widowed,Fully Meets,5,5,5,2,Leadership Development,Internal,Failed,5,$193 ,73
3437,8/4/2023,Masters,Area Sales Manager,Active,Contract,Zone B,Temporary,Sales,Field Operations,Indiana,Female,Other,Single,Fully Meets,5,3,2,5,Technical Skills,Internal,Failed,1,$456 ,59
3438,8/10/2018,Masters,Area Sales Manager,Active,Full-Time,Zone C,Temporary,Sales,General - Con,Georgia,Female,Asian,Married,Fully Meets,3,4,2,5,Technical Skills,Internal,Failed,2,$208 ,70
3439,5/25/2022,Diplomas,Area Sales Manager,Active,Full-Time,Zone A,Temporary,Sales,Splicing,Colorado,Male,Other,Single,Fully Meets,3,1,2,5,Technical Skills,External,Incomplete,1,$421 ,41
3440,12/5/2019,Diplomas,Area Sales Manager,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,Kentucky,Female,White,Divorced,Fully Meets,3,1,4,5,Communication Skills,External,Failed,1,$649 ,68
3441,4/28/2019,Doctorate,Area Sales Manager,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,Nevada,Male,Asian,Widowed,Exceeds,4,4,2,5,Project Management,Internal,Passed,4,$450 ,30
3442,7/9/2019,Masters,Area Sales Manager,Active,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,Massachusetts,Male,Black,Single,Exceeds,2,2,5,3,Project Management,External,Failed,4,$287 ,67
3443,4/5/2021,Masters,Area Sales Manager,Active,Full-Time,Zone C,Part-Time,IT/IS,Project Management - Con,Kentucky,Male,Asian,Widowed,Fully Meets,3,2,2,4,Technical Skills,External,Failed,3,$402 ,27
3444,11/28/2021,Doctorate,Area Sales Manager,Active,Contract,Zone A,Part-Time,Sales,Engineers,Kentucky,Male,Other,Widowed,Fully Meets,3,1,2,4,Technical Skills,External,Failed,2,$389 ,38
3445,1/16/2021,Post Graduate,Area Sales Manager,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,Kentucky,Female,Other,Married,Exceeds,4,4,5,2,Project Management,External,Completed,2,$880 ,36
